Order_ID,Order_Date,Day_Name,Time_Slot,Order_Type,Customer_ID,Customer_Type,Visit_Count_Week,Section,Item_Name,Category,Quantity,Unit_Price,Unit_Cost,Payment_Method,Discount_Applied,Discount_Percent,Wait_Time_Minutes,Staff_Shift
100000,1/4/2026,Sunday,Night,Dine-In,C2715,Repeat,5,Desi Food,Mutton Karahi,Main Course,2,3200,2200,Card,No,5,24,Night
100001,10/5/2025,Sunday,Night,Takeaway,C1389,Repeat,5,Sweet Section,Custard,Dessert,1,150,100,Online,Yes,15,21,Morning
100002,1/1/2026,Thursday,Night,Takeaway,C2022,Repeat,2,BBQ,Chicken Tikka,BBQ,4,450,280,Online,No,0,11,Evening
100003,1/29/2026,Thursday,Night,Dine-In,C0335,New,1,BBQ,Beef Boti,BBQ,5,700,520,Online,No,10,13,Evening
100004,10/29/2025,Wednesday,Morning,Dine-In,C0658,Repeat,5,BBQ,Seekh Kebab,BBQ,5,180,110,Online,No,0,19,Evening
100005,10/25/2025,Saturday,Evening,Dine-In,C1273,Repeat,4,BBQ,Seekh Kebab,BBQ,5,180,110,Online,Yes,15,21,Night
100006,1/29/2026,Thursday,Evening,Dine-In,C1382,Repeat,4,Juice Bar,Mango Juice,Drink,2,250,90,Online,No,10,10,Evening
100007,10/18/2025,Saturday,Morning,Takeaway,C0329,Repeat,2,Sweet Section,Gajar Halwa,Dessert,3,300,210,Cash,Yes,15,5,Night
100008,12/31/2025,Wednesday,Night,Takeaway,C2142,New,1,Sweet Section,Custard,Dessert,4,150,100,Cash,No,10,20,Night
100009,10/24/2025,Friday,Night,Takeaway,C0290,Repeat,5,Juice Bar,Fresh Lime Soda,Drink,5,180,70,Cash,Yes,5,26,Night
100010,1/21/2026,Wednesday,Night,Dine-In,C0161,New,1,Sweet Section,Custard,Dessert,4,150,100,Cash,No,5,8,Night
100011,1/28/2026,Wednesday,Night,Dine-In,C2980,New,1,Sweet Section,Ras Malai,Dessert,5,260,180,Card,Yes,5,14,Evening
100012,12/11/2025,Thursday,Evening,Takeaway,C0207,New,1,Desi Food,Mutton Karahi,Main Course,5,3200,2200,Cash,No,15,10,Night
100013,11/11/2025,Tuesday,Evening,Takeaway,C2723,Repeat,6,Juice Bar,Strawberry Shake,Drink,1,280,170,Cash,Yes,0,18,Morning
100014,10/6/2025,Monday,Afternoon,Takeaway,C1262,Repeat,3,BBQ,Chicken Boti,BBQ,3,480,310,Online,No,15,7,Night
